date,county,state,fips,cases,deaths
4/7/2020,GUACHENÉ,CAUCA,19300,1,0
4/7/2020,ITAGUI,ANTIOQUIA,05360,1,0
4/7/2020,MADRID,CUNDINAMARCA,25430,1,0
4/7/2020,MEDELLIN,ANTIOQUIA,05001,13,0
4/7/2020,PALMIRA,VALLE,76520,2,0
4/7/2020,SOACHA,CUNDINAMARCA,25754,2,0
4/7/2020,SOLEDAD,ATLANTICO,08758,5,0
4/7/2020,YOPAL,CASANARE,85001,1,0
4/7/2020,ZIPAQUIRA,CUNDINAMARCA,25899,2,0
4/8/2020,ANDALUCIA,VALLE,76036,1,0
4/8/2020,APARTADO,ANTIOQUIA,05045,1,0
4/8/2020,ARMENIA,QUINDIO,63001,10,0
4/8/2020,BARRANQUILLA,BARRANQUILLA,08001,4,0
4/8/2020,BELLO,ANTIOQUIA,05088,4,0
4/8/2020,BOGOTA,BOGOTA,11001,130,8
4/8/2020,BUENAVENTURA,VALLE,76109,1,0
4/8/2020,BUGA,VALLE,76111,2,0
4/8/2020,CAJICA,CUNDINAMARCA,25126,1,0
4/8/2020,CALARCA,QUINDIO,63130,4,0
4/8/2020,CALI,VALLE,76001,73,5
4/8/2020,CARTAGENA,CARTAGENA,13001,9,0
4/8/2020,CARTAGO,VALLE,76147,1,0
4/8/2020,CHIA,CUNDINAMARCA,25175,2,0
4/8/2020,CIENAGA DE ORO,CORDOBA,23189,1,1
4/8/2020,CIRCASIA,QUINDIO,63190,1,0
4/8/2020,COPACABANA,ANTIOQUIA,05212,1,0
4/8/2020,CUCUTA,NORTE SANTANDER,54001,2,0
4/8/2020,DOSQUEBRADAS,RISARALDA,66170,4,0
4/8/2020,EL DOVIO,VALLE,76250,1,0
4/8/2020,ENVIGADO,ANTIOQUIA,05266,2,0
4/8/2020,GALAPA,ATLANTICO,08296,1,0
4/8/2020,GINEBRA,VALLE,76306,1,1
4/8/2020,IPIALES,NARIÑO,52356,2,0
4/8/2020,JAMUNDI,VALLE,76364,3,0
4/8/2020,LA DORADA,CALDAS,17380,1,1
4/8/2020,LA ESTRELLA,ANTIOQUIA,05380,1,0
4/8/2020,LA TEBAIDA,QUINDIO,63401,1,0
4/8/2020,MANIZALES,CALDAS,17001,2,0
4/8/2020,MEDELLIN,ANTIOQUIA,05001,27,0
4/8/2020,MIRANDA,CAUCA,19455,1,0
4/8/2020,MONTENEGRO,QUINDIO,63470,1,1
4/8/2020,MONTERIA,CORDOBA,23001,3,0
4/8/2020,NEIVA,HUILA,41001,4,0
4/8/2020,PALMIRA,VALLE,76520,1,0
4/8/2020,PASTO,NARIÑO,52001,1,1
4/8/2020,PEREIRA,RISARALDA,66001,5,2
4/8/2020,PONEDERA,ATLANTICO,08560,1,0
4/8/2020,RIONEGRO,ANTIOQUIA,05615,1,0
4/8/2020,SANTA MARTA,STA MARTA D.E.,47001,14,2
4/8/2020,SANTA ROSA DE CABAL,RISARALDA,66682,1,0
4/8/2020,SANTANA,BOYACA,15686,2,0
4/8/2020,SOACHA,CUNDINAMARCA,25754,1,0
4/8/2020,SOLEDAD,ATLANTICO,08758,1,0
4/8/2020,TENZA,BOYACA,15798,2,0
4/8/2020,TRUJILLO,VALLE,76828,2,0
