date,county,state,fips,cases,deaths
2020-04-04,MEDELLIN,ANTIOQUIA,5001,2,0
2020-04-04,MONTERIA,CORDOBA,23001,1,1
2020-04-04,MOSQUERA,CUNDINAMARCA,25473,2,0
2020-04-04,NEIVA,HUILA,41001,2,0
2020-04-04,SABANETA,ANTIOQUIA,5631,1,0
2020-04-04,SOACHA,CUNDINAMARCA,25754,1,0
2020-04-04,TOGUI,BOYACA,15816,7,0
2020-04-05,ACACIAS,META,50006,1,0
2020-04-05,APARTADO,ANTIOQUIA,5045,2,0
2020-04-05,BARRANQUILLA,BARRANQUILLA,8001,2,0
2020-04-05,BELLO,ANTIOQUIA,5088,3,0
2020-04-05,BOGOTA,BOGOTA,11001,30,5
2020-04-05,BUENAVENTURA,VALLE,76109,1,0
2020-04-05,CALDAS,ANTIOQUIA,5129,1,0
2020-04-05,CALI,VALLE,76001,14,0
2020-04-05,COTA,CUNDINAMARCA,25214,1,0
2020-04-05,ENVIGADO,ANTIOQUIA,5266,2,0
2020-04-05,GUACARI,VALLE,76318,1,0
2020-04-05,GUARNE,ANTIOQUIA,5318,1,0
2020-04-05,ITAGUI,ANTIOQUIA,5360,2,0
2020-04-05,MEDELLIN,ANTIOQUIA,5001,9,0
2020-04-05,MONTEBELLO,ANTIOQUIA,5467,2,0
2020-04-05,MOSQUERA,CUNDINAMARCA,25473,1,0
2020-04-05,PALMIRA,VALLE,76520,1,0
2020-04-05,SOACHA,CUNDINAMARCA,25754,1,0
2020-04-05,SOLEDAD,ATLANTICO,8758,2,1
2020-04-05,TENJO,CUNDINAMARCA,25799,1,1
2020-04-05,ZIPAQUIRA,CUNDINAMARCA,25899,1,0
2020-04-06,BARRANCABERMEJA,SANTANDER,68081,1,1
2020-04-06,BARRANQUILLA,BARRANQUILLA,8001,1,0
2020-04-06,BELLO,ANTIOQUIA,5088,1,0
2020-04-06,BOGOTA,BOGOTA,11001,53,3
2020-04-06,BUENAVENTURA,VALLE,76109,1,0
2020-04-06,CALDAS,ANTIOQUIA,5129,1,0
2020-04-06,CALI,VALLE,76001,10,1
2020-04-06,CARTAGENA,CARTAGENA,13001,11,1
2020-04-06,CHIA,CUNDINAMARCA,25175,1,0
2020-04-06,EL DOVIO,VALLE,76250,2,1
2020-04-06,FLORIDABLANCA,SANTANDER,68276,1,1
2020-04-06,MEDELLIN,ANTIOQUIA,5001,5,1
2020-04-06,POPAYAN,CAUCA,19001,1,1
2020-04-06,RIONEGRO,ANTIOQUIA,5615,1,0
2020-04-06,SABANETA,ANTIOQUIA,5631,3,0
2020-04-06,SAN JUAN DE RIO SECO,CUNDINAMARCA,25662,1,0
2020-04-06,SANTO TOMAS,ATLANTICO,8685,1,0
2020-04-06,SOACHA,CUNDINAMARCA,25754,1,0
2020-04-06,SUBACHOQUE,CUNDINAMARCA,25769,1,0
2020-04-06,YUMBO,VALLE,76892,1,0
2020-04-07,ANGOSTURA,ANTIOQUIA,5038,1,0
2020-04-07,BARRANQUILLA,BARRANQUILLA,8001,3,0
2020-04-07,BOGOTA,BOGOTA,11001,84,4
2020-04-07,CALI,VALLE,76001,13,3
2020-04-07,CARTAGENA,CARTAGENA,13001,3,2
2020-04-07,GUACHENÃ‰,CAUCA,19300,1,0
2020-04-07,ITAGUI,ANTIOQUIA,5360,1,0
2020-04-07,MADRID,CUNDINAMARCA,25430,1,0
2020-04-07,MEDELLIN,ANTIOQUIA,5001,13,0
2020-04-07,PALMIRA,VALLE,76520,2,0
2020-04-07,SOACHA,CUNDINAMARCA,25754,2,0
2020-04-07,SOLEDAD,ATLANTICO,8758,5,0
2020-04-07,YOPAL,CASANARE,85001,1,0
2020-04-07,ZIPAQUIRA,CUNDINAMARCA,25899,2,0
2020-04-08,ANDALUCIA,VALLE,76036,1,0
2020-04-08,APARTADO,ANTIOQUIA,5045,1,0
2020-04-08,ARMENIA,QUINDIO,63001,10,0
2020-04-08,BARRANQUILLA,BARRANQUILLA,8001,4,0
2020-04-08,BELLO,ANTIOQUIA,5088,4,0
2020-04-08,BOGOTA,BOGOTA,11001,130,8
2020-04-08,BUENAVENTURA,VALLE,76109,1,0
2020-04-08,BUGA,VALLE,76111,2,0
2020-04-08,CAJICA,CUNDINAMARCA,25126,1,0
2020-04-08,CALARCA,QUINDIO,63130,4,0
2020-04-08,CALI,VALLE,76001,73,5
2020-04-08,CARTAGENA,CARTAGENA,13001,9,0
2020-04-08,CARTAGO,VALLE,76147,1,0
2020-04-08,CHIA,CUNDINAMARCA,25175,2,0
2020-04-08,CIENAGA DE ORO,CORDOBA,23189,1,1
2020-04-08,CIRCASIA,QUINDIO,63190,1,0
2020-04-08,COPACABANA,ANTIOQUIA,5212,1,0
2020-04-08,CUCUTA,NORTE SANTANDER,54001,2,0
2020-04-08,DOSQUEBRADAS,RISARALDA,66170,4,0
2020-04-08,EL DOVIO,VALLE,76250,1,0
2020-04-08,ENVIGADO,ANTIOQUIA,5266,2,0
2020-04-08,GALAPA,ATLANTICO,8296,1,0
2020-04-08,GINEBRA,VALLE,76306,1,1
2020-04-08,IPIALES,NARIÃ‘O,52356,2,0
2020-04-08,JAMUNDI,VALLE,76364,3,0
2020-04-08,LA DORADA,CALDAS,17380,1,1
2020-04-08,LA ESTRELLA,ANTIOQUIA,5380,1,0
2020-04-08,LA TEBAIDA,QUINDIO,63401,1,0
2020-04-08,MANIZALES,CALDAS,17001,2,0
2020-04-08,MEDELLIN,ANTIOQUIA,5001,27,0
2020-04-08,MIRANDA,CAUCA,19455,1,0
2020-04-08,MONTENEGRO,QUINDIO,63470,1,1
2020-04-08,MONTERIA,CORDOBA,23001,3,0
2020-04-08,NEIVA,HUILA,41001,4,0
2020-04-08,PALMIRA,VALLE,76520,1,0
2020-04-08,PASTO,NARIÃ‘O,52001,1,1
2020-04-08,PEREIRA,RISARALDA,66001,5,2
2020-04-08,PONEDERA,ATLANTICO,8560,1,0
2020-04-08,RIONEGRO,ANTIOQUIA,5615,1,0
2020-04-08,SANTA MARTA,STA MARTA D.E.,47001,14,2
2020-04-08,SANTA ROSA DE CABAL,RISARALDA,66682,1,0
2020-04-08,SANTANA,BOYACA,15686,2,0
2020-04-08,SOACHA,CUNDINAMARCA,25754,1,0
2020-04-08,SOLEDAD,ATLANTICO,8758,1,0
2020-04-08,TENZA,BOYACA,15798,2,0
2020-04-08,TRUJILLO,VALLE,76828,2,0
2020-04-08,TULUA,VALLE,76834,4,0
2020-04-08,TUNJA,BOYACA,15001,2,0
2020-04-08,TURBACO,BOLIVAR,13836,3,0
2020-04-08,VALLEDUPAR,CESAR,20001,1,0
2020-04-08,VILLAPINZON,CUNDINAMARCA,25873,1,0
2020-04-09,ARMENIA,QUINDIO,63001,1,0
2020-04-09,BARRANCABERMEJA,SANTANDER,68081,1,0
2020-04-09,BARRANQUILLA,BARRANQUILLA,8001,7,0
