"id" "rend"
"73024" 6.14
"73443" 4.6
"73200" 7.16
"73854" 7.16
"73270" 7.16
"76364" 5.98
"76041" 5.06
"76109" 1.84
"76895" 6.44
"76100" 4.6
"76111" 5.52
"05837" 1.4
"05490" 2.4
"05665" 1.2
"05873" 2.4
"05250" 1.2
"05495" 1.2
"05045" 1.8
"05895" 2
"05154" 1.3
"05604" 1.2
"05790" 1.2
"05172" 1.5
"05736" 1.4
"05475" 1
"05120" 2.5
"05659" 3
"05480" 3.2
"05284" 3.5
"05107" 1.5
"05858" 1.4
"08560" 2.24
"13458" 2
"13006" 2.3
"13670" 2.7
"13430" 2.5
"13744" 3
"13655" 2.3
"13810" 2
"13549" 2
"13490" 1.5
"13030" 1.5
"13244" 2
"13442" 1
"13654" 1
"13667" 1.5
"13042" 1.5
"13001" 2
"18150" 1.5
"18205" 2.5
"18756" 1.3
"18410" 1
"18460" 3
"18753" 1
"18785" 1
"19318" 2.2
"19533" 3
"19513" 4
"19418" 3
"19785" 3
"19392" 8
"20011" 5.5
"27430" 1.47
"27001" 2
"27615" 2.2
"27150" 2.5
"27077" 2.4
"27006" 1.8
"27425" 3.5
"27025" 1.2
"27600" 2.5
"27745" 1.18
"27099" 3
"27800" 0.4
"27361" 1
"27450" 2.37
"27075" 1
"27491" 1
"27495" 1
"27580" 1
"27050" 10
"27372" 1
"27135" 0.3
"27250" 1
"27160" 0.5
"27787" 0.3
"23807" 2
"23570" 1.21
"23555" 1
"23466" 2
"23660" 2
"23001" 1.3
"23189" 3
"23855" 2
"23090" 1.6
"23182" 3
"23300" 3
"23417" 6
"23580" 2.3
"23675" 2.5
"23079" 1.5
"23678" 1.8
"23670" 1.9
"23682" 1.5
"23574" 2.5
"23168" 2.7
"23350" 3
"23586" 5
"23419" 1.5
"95001" 3
"95025" 3
"95015" 3
"95200" 3
"47053" 5.6
"50350" 1
"50325" 1
"50370" 3
"50330" 3
"52079" 1
"52490" 3.5
"52621" 1.4
"52835" 4.5
"52696" 2
"52390" 5
"52250" 1.5
"52356" 1
"52427" 1.25
"52540" 1
"52520" 0.7
"86571" 1.7
"86573" 2.5
"86320" 1.8
"86569" 1.4
"86568" 1.8
"86865" 2
"86885" 3
"68615" 6
"68176" 4
"70708" 2
"70771" 2
"70265" 3.1
"70429" 2.2
"70400" 0.6
"70124" 3.3
"70678" 3
"70235" 0.7
"70233" 2.5
"70230" 1
"70820" 2.3
"70473" 1.1
"70670" 2.7
"70204" 0.7
"97161" 1
"99773" 2.5
"91540" 3
"91001" 1.5
"05490" 2.4
"05837" 1.4
"05051" 1
"05250" 1.2
"05045" 1.8
"05120" 1
"05895" 2
"05495" 1
"05604" 1.2
"05172" 1.5
"05790" 1.2
"05154" 1.3
"05480" 3.5
"05873" 2.1
"05284" 3.5
"05736" 1.3
"05107" 1.5
"05858" 1.4
"08560" 1
"13458" 3.5
"13006" 1.8
"13670" 2
"13442" 2
"13654" 1
"13744" 3.3
"13655" 1.5
"13549" 2
"13810" 2
"13490" 1.5
"13030" 1.5
"13244" 2
"13430" 2
"13001" 3
"13667" 1.5
"13042" 1.5
"18150" 1.5
"18205" 2.5
"18460" 3
"18756" 1.49
"18785" 1
"18592" 4.5
"19318" 2.2
"19533" 3
"19785" 3.7
"20011" 5.5
"27615" 2.12
"27430" 1.3
"27150" 2.5
"27006" 1.8
"27077" 2.4
"27025" 1.2
"27800" 0.4
"27001" 2
"27361" 1
"27491" 1
"27450" 2.36
"27099" 2
"27600" 2.3
"27580" 1
"27425" 5
"27745" 1
"27372" 3
"27250" 1
"27787" 0.3
"27160" 0.75
"23466" 2
"23807" 2
"23580" 2
"23090" 1.46
"23182" 3
"23570" 1.11
"23675" 2.5
"23417" 3
"23682" 1.5
"23079" 1.5
"23574" 2.5
"23686" 2.5
"23672" 1.5
"23162" 2
"23500" 1.7
"23001" 1.3
"23419" 1.5
"47001" 3.8
"50330" 3
"52490" 2.5
"52079" 1
"52621" 3.5
"52696" 2
"52390" 5
"52250" 1.5
"52835" 3.5
"52356" 1
"52427" 1.5
"52520" 0.7
"52540" 1
"86320" 2.2
"86568" 1.9
"86571" 1.7
"86573" 2
"86569" 1.4
"86865" 2
"86885" 3
"68615" 6
"68176" 3
"70771" 2
"70708" 1.5
"70265" 3.1
"70713" 3.2
"70429" 2
"70400" 1.2
"70678" 3.1
"70124" 3.3
"70230" 1.3
"70233" 2.5
"70523" 1.4
"70204" 0.7
